gig_id,gig_type,platform,location_lat,location_lng,start_time,end_time,earnings,gig_status,demand_score,travel_distance,estimated_time_to_complete,user_id
1,Freelance,Fiverr,18.758586653582807,72.95900676254244,2025-01-15 20:16:52,2025-01-16 00:16:52,1241.2,Cancelled,0.98,14.2,90,927
2,Freelance,Fiverr,18.90829719268106,72.75122496020869,2025-01-15 19:24:17,2025-01-15 22:24:17,3429.85,Completed,0.66,7.8,151,624
3,Freelance,Fiverr,18.911272971578168,72.70535514734229,2025-01-05 11:18:29,2025-01-05 16:18:29,4133.35,Cancelled,0.95,4.6,31,437
4,Delivery,Zepto,19.222151602905353,72.78203889040515,2025-01-13 18:21:07,2025-01-13 19:21:07,326.47,In-progress,0.61,5.4,83,570
5,Delivery,Zomato,19.265251459318485,72.73455369325879,2025-01-12 21:48:40,2025-01-12 22:48:40,2748.3,Completed,0.52,5.0,170,395
6,Delivery,Zepto,19.41873675142491,72.87396839508963,2025-01-20 20:05:42,2025-01-21 00:05:42,496.71,In-progress,0.7,10.7,46,206
7,Delivery,MagicPin,18.54313522570835,72.96584803717835,2025-01-18 13:39:45,2025-01-18 17:39:45,570.75,Cancelled,0.91,5.1,139,555
8,Driver,Ola,18.609437150286535,72.85324727281478,2025-01-02 05:39:14,2025-01-02 10:39:14,2444.46,Completed,0.97,1.6,48,607
9,Driver,Uber,19.027872818550502,72.77666930097064,2025-01-01 10:23:20,2025-01-01 15:23:20,3577.92,Completed,0.84,4.0,172,322
10,Delivery,Zomato,18.583564618185367,72.72221275853641,2025-01-08 14:55:08,2025-01-08 16:55:08,1349.21,Completed,0.6,12.2,23,43
11,Freelance,Fiverr,18.665289422371522,72.83624198917325,2025-01-10 17:36:57,2025-01-10 19:36:57,689.29,In-progress,0.53,9.3,75,485
12,Freelance,Fiverr,19.153279000221854,72.97794460406806,2025-01-13 22:15:01,2025-01-14 03:15:01,2109.34,Completed,0.82,7.3,103,327
13,Delivery,Blinkit,19.49461765215464,72.98184151304588,2025-01-07 22:14:19,2025-01-08 01:14:19,4148.97,In-progress,0.69,5.2,89,979
14,Freelance,Fiverr,19.49074924387665,72.86217995434852,2025-01-10 12:32:31,2025-01-10 13:32:31,2935.89,Cancelled,0.55,5.0,155,288
15,Freelance,Fiverr,18.564783008026158,72.90394822269656,2025-01-15 11:53:46,2025-01-15 13:53:46,1267.25,Completed,1.0,8.8,49,91
16,Driver,Ola,18.995977634893713,72.82994479075037,2025-01-15 14:55:35,2025-01-15 16:55:35,3501.18,Completed,0.87,12.6,154,586
17,Driver,Ola,19.444010598579027,72.95886233824719,2025-01-09 11:35:21,2025-01-09 12:35:21,2293.48,Completed,0.71,11.3,165,23
18,Delivery,Zepto,19.435605293054017,72.8080242721383,2025-01-14 09:24:00,2025-01-14 12:24:00,2567.78,Completed,0.64,14.1,120,312
19,Driver,Uber,19.437109424555732,72.70247066331314,2025-01-03 16:30:56,2025-01-03 17:30:56,4940.92,Completed,0.74,5.5,61,674
20,Freelance,Fiverr,18.899361392948514,72.88967930628053,2025-01-19 19:31:53,2025-01-19 22:31:53,4486.42,In-progress,0.62,13.8,112,267
21,Freelance,Fiverr,19.35469429159011,72.8919462802337,2025-01-20 19:01:53,2025-01-20 22:01:53,2112.21,Completed,0.69,13.6,167,390
22,Delivery,Zepto,18.64830747527026,72.75820461732552,2025-01-17 19:51:33,2025-01-17 21:51:33,424.12,Completed,0.65,5.3,139,745
23,Driver,Ola,18.9246222014524,72.80271987489243,2025-01-14 15:59:34,2025-01-14 16:59:34,1564.85,In-progress,0.67,6.7,16,254
24,Delivery,Zepto,18.660163699009512,72.88798694730549,2025-01-20 00:20:22,2025-01-20 02:20:22,570.79,Cancelled,0.75,7.1,179,252
25,Freelance,Fiverr,18.762172326246223,72.79899239408262,2025-01-10 20:27:01,2025-01-11 00:27:01,2015.21,Cancelled,0.7,10.0,30,483
26,Freelance,Fiverr,18.910789912639984,72.72448610932827,2025-01-10 10:10:24,2025-01-10 12:10:24,643.96,Completed,0.59,12.1,10,524
27,Freelance,Fiverr,19.06192643216748,72.71209699110848,2025-01-10 06:34:02,2025-01-10 10:34:02,750.14,Completed,0.86,10.5,50,323
28,Driver,Uber,19.44950339357129,72.83676553187178,2025-01-08 19:52:47,2025-01-08 21:52:47,941.91,Cancelled,0.87,5.7,176,193
29,Driver,Uber,19.285451322509143,72.88043073737002,2025-01-12 17:54:38,2025-01-12 20:54:38,3493.99,Cancelled,0.52,2.3,13,388
30,Driver,Uber,19.258221908088,72.79992096386239,2025-01-11 12:29:06,2025-01-11 14:29:06,1442.11,Completed,0.99,4.3,103,679
31,Delivery,Swiggy,19.183456130794283,72.72130587447887,2025-01-12 08:27:55,2025-01-12 10:27:55,4780.9,Completed,0.53,5.6,118,913
32,Delivery,Zomato,19.290031162124105,72.7104014583436,2025-01-05 17:13:55,2025-01-05 22:13:55,1395.38,Cancelled,0.63,2.7,34,338
33,Freelance,Fiverr,19.209823212349367,72.8514018881919,2025-01-04 19:05:38,2025-01-04 20:05:38,4067.17,Completed,0.83,5.5,26,811
34,Delivery,MagicPin,18.972125204655303,72.8462560336838,2025-01-14 05:12:54,2025-01-14 07:12:54,3198.82,Cancelled,0.53,6.9,169,8
35,Freelance,Fiverr,19.498435541643328,72.93145238011682,2025-01-13 20:11:22,2025-01-13 23:11:22,3190.4,In-progress,0.56,5.8,138,572
36,Freelance,Fiverr,18.837423820982814,72.88518937177902,2025-01-11 22:37:04,2025-01-12 00:37:04,2046.48,Cancelled,0.58,7.0,37,920
37,Freelance,Fiverr,18.96655850668536,72.98181514463892,2025-01-11 22:25:57,2025-01-12 01:25:57,1759.07,In-progress,0.95,11.6,21,91
38,Driver,InDrive,18.807108568379764,72.87701341718767,2025-01-05 14:47:38,2025-01-05 19:47:38,2318.99,Completed,0.62,8.7,110,324
39,Freelance,Fiverr,18.853549292355613,72.81978751195174,2025-01-16 22:14:25,2025-01-16 23:14:25,2278.5,In-progress,0.72,8.5,84,534
40,Delivery,Zepto,19.002930501822608,72.88091900329896,2025-01-10 09:00:42,2025-01-10 11:00:42,130.84,In-progress,0.88,8.7,168,457
41,Driver,Uber,19.490398725185507,72.96965259530569,2025-01-12 08:21:24,2025-01-12 13:21:24,1581.99,In-progress,0.66,2.9,56,419
42,Driver,Ola,18.52612231806768,72.7312341475292,2025-01-09 07:16:42,2025-01-09 08:16:42,1305.75,Completed,0.92,4.3,122,396
43,Freelance,Fiverr,19.172922125554965,72.84829155303355,2025-01-15 12:01:05,2025-01-15 15:01:05,1109.99,Completed,0.72,5.0,73,756
44,Freelance,Fiverr,18.953711888582674,72.72964668375612,2025-01-04 18:12:02,2025-01-04 19:12:02,2036.38,In-progress,0.74,12.9,113,47
45,Freelance,Fiverr,19.451742561323023,72.7151169859348,2025-01-10 05:25:17,2025-01-10 09:25:17,732.02,Completed,0.9,12.6,103,329
46,Delivery,MagicPin,18.79819155201121,72.74225675398908,2025-01-01 23:32:32,2025-01-02 01:32:32,3853.59,Cancelled,0.72,2.7,94,539
47,Delivery,Zomato,18.980146113735753,72.97852667356763,2025-01-02 22:41:37,2025-01-03 01:41:37,3090.0,In-progress,0.73,8.1,94,542
48,Delivery,Zepto,18.90642427412186,72.7353303938064,2025-01-14 14:52:29,2025-01-14 18:52:29,682.33,Completed,0.7,1.4,83,915
49,Freelance,Fiverr,19.277480360709085,72.75004403395188,2025-01-12 00:14:30,2025-01-12 02:14:30,3023.24,Completed,0.97,14.6,56,946
50,Driver,InDrive,18.79477648505572,72.76896924807892,2025-01-15 11:21:43,2025-01-15 15:21:43,1461.65,Completed,0.81,7.8,87,13
51,Freelance,Fiverr,18.54719727147498,72.82060206865263,2025-01-02 01:16:18,2025-01-02 06:16:18,1118.74,Completed,0.51,14.0,140,111
52,Freelance,Fiverr,18.763478476423668,72.72990698341711,2025-01-17 20:58:04,2025-01-18 00:58:04,2845.9,Completed,0.71,14.9,161,555
53,Freelance,Fiverr,19.43228558166786,72.86754390097202,2025-01-09 20:58:16,2025-01-09 23:58:16,2289.91,Cancelled,0.87,3.1,169,298
